Question	GT
Which of the following mitigations involves preventing applications from running that haven't been downloaded from legitimate repositories?	C
Which data source is recommended for monitoring commands that may circumvent mechanisms designed to control elevation of privileges?	A
What does mitigation ID M1028 suggest to prevent privilege escalation exploits on a system?	C
Which process creation is an indicator of potential SYSTEM privilege escalation according to the detection section?	C
"In a Linux environment, what is recommended to monitor for detecting privilege escalation via sudo?"	D
What mitigation ID suggests requiring a password every time sudo is executed to manage privileged accounts?	A
"An adversary leveraging the technique ""Abuse Elevation Control Mechanism: Setuid and Setgid"" is targeting which systems from the MITRE ATT&CK Enterprise matrix?"	D
Which of the following commands would an adversary use to find files with the setgid bit set on a UNIX-based system?	A
Which mitigation strategy from the MITRE ATT&CK framework is recommended to counteract the abuse of setuid and setgid bits?	B
Which data source should you monitor to detect changes indicating abuse of setuid or setgid bits on files?	D
"Which mitigation technique, designated as M1026 under MITRE ATT&CK, should be implemented to limit permissions for users and user groups in creating tokens?"	D
"Considering MITRE ATT&CK (Enterprise), which tool is known for its ability to create tokens from known credentials as part of its procedures?"	D
"According to MITRE ATT&CK, which tool did the Night Dragon adversaries use for cracking password hashes?"	C
Which specific data source should be monitored to detect failed authentication attempts that could indicate a brute force attack?	C
What mitigation strategy does MITRE ATT&CK suggest to defend against password cracking by adversaries?	C
How does T1110.001 (Brute Force: Password Guessing) typically try to achieve credential access?	B
Why are LDAP and Kerberos connection attempts less likely to trigger events compared to SMB?	B
Which mitigation can help prevent T1110.001 attacks but might cause a denial of service if too strict?	B
Which tool allows brute-forcing across an entire network as part of T1110.001?	C
In which scenario might an adversary combine brute forcing activity with External Remote Services?	C
Which group used a script to attempt RPC authentication during the 2016 Ukraine Electric Power Attack?	B
"According to the MITRE ATT&CK framework, which technique ID corresponds to Brute Force?"	A
Which procedure example includes the use of Ncrack to reveal credentials?	A
What mitigation strategy involves setting account lockout policies after a certain number of failed login attempts?	D
Which permission is typically required to execute browser-based pivoting behaviors in the context of T1185?	C
Which mitigation could help restrict exposure to browser pivoting techniques like T1185?	A
