URL,Question,Option A,Option B,Option C,Option D,GT,Prompt
https://attack.mitre.org/techniques/T1556/001,"Within the context of MITRE ATT&CK for Enterprise, which of these is NOT a valid mitigation strategy for Skeleton Key attacks?",Privileged Account Management,Multi-factor Authentication,Data Source Monitoring,System Integrity Monitoring,D,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Within the context of MITRE ATT&CK for Enterprise, which of these is NOT a valid mitigation strategy for Skeleton Key attacks? **Options:** A) Privileged Account Management B) Multi-factor Authentication C) Data Source Monitoring D) System Integrity Monitoring **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/001,"In relation to Skeleton Key and Chimera, what MITRE ATT&CK technique does their implementation fall under?",T1552 -  Credential Access,T1055 -  Process Injection,T1550 -  Use Alternate Authentication Material,T1083 -  Process Injection,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** In relation to Skeleton Key and Chimera, what MITRE ATT&CK technique does their implementation fall under? **Options:** A) T1552 -Credential Access B) T1055 -Process Injection C) T1550 -Use Alternate Authentication Material D) T1083 -Process Injection **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/001,"According to the text, what is a primary method of mitigating attacks like Skeleton Key and Chimera?",Implement strong user training programs to educate users about security risks.,Disable authentication processes on domain controllers during off-peak hours.,Enable multi-factor authentication to reduce reliance on passwords.,Utilize intrusion detection systems to identify suspicious network traffic.,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** According to the text, what is a primary method of mitigating attacks like Skeleton Key and Chimera? **Options:** A) Implement strong user training programs to educate users about security risks. B) Disable authentication processes on domain controllers during off-peak hours. C) Enable multi-factor authentication to reduce reliance on passwords. D) Utilize intrusion detection systems to identify suspicious network traffic. **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/002,What is the name of the technique used by adversaries to register malicious password filters on domain controllers to acquire credentials?,Credential Dumping (T1003),Password Filter DLL (T1550.003),Local Account Privilege Escalation (T1078),User Execution (T1137),B,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** What is the name of the technique used by adversaries to register malicious password filters on domain controllers to acquire credentials? **Options:** A) Credential Dumping (T1003) B) Password Filter DLL (T1550.003) C) Local Account Privilege Escalation (T1078) D) User Execution (T1137) **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/002,"In the context of MITRE ATT&CK Enterprise, which of the following is NOT a recommended mitigation for preventing adversaries from registering malicious password filters?",Ensure only valid password filters are registered.,Monitor changes to Registry entries related to password filters.,Implement strong authentication mechanisms.,Disable password complexity requirements.,D,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** In the context of MITRE ATT&CK Enterprise, which of the following is NOT a recommended mitigation for preventing adversaries from registering malicious password filters? **Options:** A) Ensure only valid password filters are registered. B) Monitor changes to Registry entries related to password filters. C) Implement strong authentication mechanisms. D) Disable password complexity requirements. **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/002,"What is the primary data source used to detect the creation of malicious password filter DLLs, according to the document?",Network Traffic Analysis,File Creation Monitor,Process Monitoring,User Activity Monitoring,B,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** What is the primary data source used to detect the creation of malicious password filter DLLs, according to the document? **Options:** A) Network Traffic Analysis B) File Creation Monitor C) Process Monitoring D) User Activity Monitoring **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/002,What is the name of the technique associated with adversaries registering malicious password filter DLLs in the authentication process to acquire user credentials?,Credential Access (T1083),Defense Evasion (T1567),Privilege Escalation (T1068),Exfiltration (T1041),A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** What is the name of the technique associated with adversaries registering malicious password filter DLLs in the authentication process to acquire user credentials? **Options:** A) Credential Access (T1083) B) Defense Evasion (T1567) C) Privilege Escalation (T1068) D) Exfiltration (T1041) **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/002,Which of the following MITRE ATT&CK tactics is most directly relevant to the scenario described in the document?,Credential Access,Discovery,Persistence,Execution,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following MITRE ATT&CK tactics is most directly relevant to the scenario described in the document? **Options:** A) Credential Access B) Discovery C) Persistence D) Execution **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/003,Which of the following MITRE ATT&CK techniques is specifically designed to replace the pam_unix.so file with a malicious version that accepts a backdoor password?,T1552.001 - Steal or Forge Kerberos Tickets,T1550.002 - Abuse Elevation Control Mechanism,T1550.003 - Modify Authentication Process,T1553 - Steal or Forge Web Credentials,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following MITRE ATT&CK techniques is specifically designed to replace the pam_unix.so file with a malicious version that accepts a backdoor password? **Options:** A) T1552.001 - Steal or Forge Kerberos Tickets B) T1550.002 - Abuse Elevation Control Mechanism C) T1550.003 - Modify Authentication Process D) T1553 - Steal or Forge Web Credentials **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/003,What is a common approach for mitigating the risk of an adversary exploiting PAM vulnerabilities to gain unauthorized access?,Enforcing strong password policies,Implementing multi-factor authentication,Utilizing intrusion detection systems,Restricting access to critical system files,B,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** What is a common approach for mitigating the risk of an adversary exploiting PAM vulnerabilities to gain unauthorized access? **Options:** A) Enforcing strong password policies B) Implementing multi-factor authentication C) Utilizing intrusion detection systems D) Restricting access to critical system files **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
